Province,Health Facility,Period,Pregnant women retention,Breatfeeding women retention,Children retention,Pregnant women VL test,Pregnant women VL result,Breastfeeding women VL test,Breastfeeding women VL result,Children VL test,Children VL result
Cabo Delgado,Chiure CS,2025Q1,0.7474332648870636,0.7560371517027864,0.8284960422163589,0.8,0.75,0.9757575757575757,0.663594470046083,0.9076923076923077,0.8484848484848485
Cabo Delgado,Chiure CS,2025Q2,0.7747524752475248,0.7624466571834992,0.8242424242424242,0.9655172413793104,0.7333333333333333,0.9846153846153847,0.7922705314009661,0.9230769230769231,0.5365853658536586
Cabo Delgado,Chiure CS,2025Q3,0.8805031446540881,0.8320987654320988,0.9295039164490861,0.9375,0.9056603773584906,1,0.8178694158075601,0.9295774647887324,0.9710144927536232
Cabo Delgado,Chiure CS,2025Q4,0.8534136546184738,0.8286734086853064,0.8857868020304569,0.926829268292683,0.816793893129771,0.9705882352941176,0.8201438848920863,0.9264705882352942,0.8840579710144928
Cabo Delgado,Eduardo Mondlane CS,2025Q1,0.9920634920634921,0.9588607594936709,0.9318181818181818,0.9642857142857143,1,0.940677966101695,0.9537037037037037,0.8571428571428571,1
Cabo Delgado,Eduardo Mondlane CS,2025Q2,0.9459459459459459,0.9698890649762282,0.7563025210084033,0.9333333333333333,0.9545454545454546,0.9404761904761905,0.9891304347826086,0.8214285714285714,0.625
Cabo Delgado,Eduardo Mondlane CS,2025Q3,0.9683257918552036,0.9843505477308294,0.9851851851851852,0.9259259259259259,0.9523809523809523,1,0.9603960396039604,0.9428571428571428,1
Cabo Delgado,Eduardo Mondlane CS,2025Q4,0.9948717948717949,0.9790996784565916,0.9365079365079365,1,1,0.9514563106796117,1,1,0.9
Cabo Delgado,Metuge CS,2025Q1,0.9405940594059405,0.9014084507042254,0.7241379310344828,0.9,0.23076923076923078,0.875,0.375,1,1
Cabo Delgado,Metuge CS,2025Q2,0.983739837398374,0,0.9146341463414634,0.9230769230769231,0,0,0,0.9090909090909091,0.5625
Cabo Delgado,Metuge CS,2025Q3,0.9354838709677419,0,0.8433734939759037,0.7692307692307693,0.4528301886792453,0,0,0.7272727272727273,0.6666666666666666
Cabo Delgado,Metuge CS,2025Q4,0.989010989010989,0,0.9741379310344828,1,0.9285714285714286,0,0,1,0.7619047619047619
Cabo Delgado,Natite CS,2025Q1,0.9887640449438202,0.9941262848751835,0.9675324675324676,1,0.8214285714285714,1,0.9903846153846154,0.9375,0.8235294117647058
Cabo Delgado,Natite CS,2025Q2,0.9802955665024631,0.9839486356340289,0.9871794871794872,0.9705882352941176,0.6101694915254238,0.9340659340659341,0.90625,0.9230769230769231,0.725
Cabo Delgado,Natite CS,2025Q3,1,0.9829642248722317,0.9863945578231292,1,1,0.9215686274509803,0.8977272727272727,0.9565217391304348,0.9642857142857143
Cabo Delgado,Natite CS,2025Q4,0.983957219251337,0.9844559585492227,0.9794520547945206,1,0.8823529411764706,0.9320388349514563,0.927710843373494,0.9130434782608695,0.88
Nampula,1 de Maio CSURB,2025Q1,0.9395348837209302,0.9836431226765799,0.9682080924855492,1,0.975,1,0.9272727272727272,1,1
Nampula,1 de Maio CSURB,2025Q2,0.9125295508274232,0.9551020408163265,0.897196261682243,0.9302325581395349,0.925,1,0.96875,0.9047619047619048,0.7714285714285715
Nampula,1 de Maio CSURB,2025Q3,0.9213051823416507,0.9701037217815741,0.9391304347826087,0.9310344827586207,0.891566265060241,1,1,1,0.967741935483871
Nampula,1 de Maio CSURB,2025Q4,0.9538188277087034,0.9681818181818181,0.9333333333333333,0.8333333333333334,0.8701298701298701,1,0.8207547169811321,1,0.9857142857142858
Nampula,25 de Setembro CS II,2025Q1,0.9635258358662614,0.9683760683760684,0.9664268585131894,0.9583333333333334,0.97,0.9827089337175793,0.9863013698630136,0.9821428571428571,0.9701492537313433
