"Province","Health Facility","Period","1st ANC visit","Clients elegible for HIV test at 1st ANC","1st ANC clients tested for HIV","Total HIV+ clients at ANC","Known HIV+ at entry","New HIV-positive clients","Initiated on ART","% of pregnant women tested for HIV (Facility)","Positivity at ANC","PMTCT ART Coverage","PMTCT_STAT_POS_ALL","Exposed children","New children exposed to HIV at CCR <2","New children exposed to HIV at CCR 2 - 12","New children exposed to HIV at CCR 12 - 18","1st PCR collected","1st PCR collected (<2 Months)","1st PCR collected (2-12 Months)","1st PCR collected (12-18 Months)","New HIV+ infants","New HIV+ infants < 2 month","New HIV+ infants 2 - 12 month","New HIV+ infants (0-12 Months)","New HIV+ infants (12-18 Months)","New HIV+ infants initiated ART","New HIV+ infants initiated ART < 2 month","New HIV+ infants initiated ART 2 - 12 month","New HIV+ infants initiated ART 12 - 18 month","coverage PMTCT_EID","PCR Coverage","coverage PMTCT_EID <2 months","coverage PMTCT_EID 2-12 months","coverage PMTCT_EID 12-18 months","Positivity","Positivity < 2 month","MFR v2 | Number of children tested HIV positive | PCR < 2 month","MFR v2 | Infants tested for HIV | PCR < 2 month","Positivity 2 - 12 month","MFR v2 | Number of children tested HIV positive | PCR 2 - 12 month","MFR v2 | Infants tested for HIV | PCR 2 - 12 month","Positivity 12 - 18 month","FSS v2 | New HIV positive children (PCR test) | Moz 12 - 18","FSS v2 | 1st PCR performed | Moz 12 - 18","PMTCT_HEI_POS_ART Coverage","PMTCT_HEI_POS_ART Coverage < 2 month","PMTCT_HEI_POS_ART Coverage 2 - 12 month","PMTCT_HEI_POS_ART Coverage 12 - 18 month","New HIV+ women at ANC","New HIV+ women started ART at CRC","Number of women who collected VL test at ANC","Number of women who collected VL test at CRC","Number of women with VL result at ANC","Number of women with VL result at CRC","Number of women with suppressed VL at ANC","Number of women with suppressed VL at CRC","Number of new children enrolled in ART","Number of children being followed up on ART","Number of children who took VL test","Number of children with VL result","Number of children with suppressed VL","Numerador_FSS_ANC","Denominador_MFR_ANC","Linkage at ANC","Numerador_FSS_CCR","Denominador_MFR_CCR","Linkage at CCR","% of women with VL result at ANC","% of women with VL result at CRC","% of women with suppressed VL at ANC","% of women with suppressed VL at CRC","% of children with VL result","% of children with suppressed VL"
"Cabo Delgado","Chiure CS","2025Q1",1569,1479,1479,134,90,44,43,1,0.0297498309668695,0.977272727272727,52,144,134,10,0,146,134,10,2,5,1,3,4,1,4,1,3,0,2.80769230769231,1.01388888888889,2.57692307692308,0.192307692307692,0.0384615384615385,0.0342465753424658,0.00746268656716418,1,134,0.3,3,10,0.5,1,2,0.8,1,1,0,134,9,103,245,83,186,69,169,17,893,69,75,49,134,134,1,9,9,1,0.805825242718447,0.759183673469388,0.831325301204819,0.908602150537634,1.08695652173913,0.653333333333333
"Cabo Delgado","Chiure CS","2025Q2",2325,2199,2199,161,126,35,37,1,0.0159163256025466,1.05714285714286,39,133,131,2,0,147,145,2,0,2,2,0,2,0,1,1,0,0,3.76923076923077,1.10526315789474,3.71794871794872,0.0512820512820513,0,0.0136054421768707,0.0137931034482759,2,145,0,0,2,0,0,0,0.5,0.5,0,0,146,4,149,200,98,186,78,182,16,887,85,47,30,146,162,0.901234567901235,4,5,0.8,0.657718120805369,0.93,0.795918367346939,0.978494623655914,0.552941176470588,0.638297872340426
"Cabo Delgado","Chiure CS","2025Q3",1848,1717,1717,161,131,30,31,1,0.017472335468841,1.03333333333333,39,181,155,25,1,180,155,25,0,3,1,2,3,0,3,1,2,0,4.61538461538461,0.994475138121547,3.97435897435897,0.641025641025641,0,0.0166666666666667,0.00645161290322581,1,155,0.08,2,25,0,0,0,1,1,1,0,162,8,143,288,105,210,99,196,17,862,80,78,52,162,162,1,8,8,1,0.734265734265734,0.729166666666667,0.942857142857143,0.933333333333333,0.975,0.666666666666667
"Cabo Delgado","Chiure CS","2025Q4",1690,1570,1570,138,120,18,18,1,0.0114649681528662,1,23,133,117,14,2,133,117,14,2,5,1,3,4,1,5,1,3,1,5.78260869565217,1,5.08695652173913,0.608695652173913,0.0869565217391304,0.037593984962406,0.00854700854700855,1,117,0.214285714285714,3,14,0.5,1,2,1,1,1,1,138,5,181,274,123,257,117,241,16,841,86,72,52,138,138,1,5,5,1,0.679558011049724,0.937956204379562,0.951219512195122,0.937743190661479,0.837209302325581,0.722222222222222
"Cabo Delgado","Eduardo Mondlane CS","2025Q1",810,774,774,56,36,20,20,1,0.0258397932816537,1,21,53,49,4,0,50,46,4,0,0,0,0,0,0,0,0,0,0,2.38095238095238,0.943396226415094,2.19047619047619,0.19047619047619,0,0,0,0,46,0,0,4,0,0,0,0,0,0,0,56,1,45,121,49,111,45,102,1,358,18,18,14,56,56,1,1,1,1,1.08888888888889,0.917355371900826,0.918367346938776,0.918918918918919,1,0.777777777777778
"Cabo Delgado","Eduardo Mondlane CS","2025Q2",751,707,707,60,44,16,16,1,0.0226308345120226,1,17,40,39,1,0,44,43,1,0,0,0,0,0,0,0,0,0,0,2.58823529411765,1.1,2.52941176470588,0.0588235294117647,0,0,0,0,43,0,0,1,0,0,0,0,0,0,0,59,1,46,104,42,98,31,76,4,479,29,14,12,59,60,0.983333333333333,1,1,1,0.91304347826087,0.942307692307692,0.738095238095238,0.775510204081633,0.482758620689655,0.857142857142857
"Cabo Delgado","Eduardo Mondlane CS","2025Q3",740,703,703,50,37,13,13,1,0.0184921763869132,1,16,55,49,6,0,56,51,5,0,2,0,2,2,0,2,0,2,0,3.5,1.01818181818182,3.1875,0.3125,0,0.0357142857142857,0,0,51,0.4,2,5,0,0,0,1,0,1,0,50,3,42,120,40,91,34,80,12,358,36,22,20,50,50,1,3,3,1,0.952380952380952,0.758333333333333,0.85,0.879120879120879,0.611111111111111,0.909090909090909
"Cabo Delgado","Eduardo Mondlane CS","2025Q4",703,651,651,61,52,9,9,1,0.0138248847926267,1,10,43,42,1,0,42,41,1,0,0,0,0,0,0,0,0,0,0,4.2,0.976744186046512,4.1,0.1,0,0,0,0,41,0,0,1,0,0,0,0,0,0,0,59,0,60,120,51,97,47,84,2,296,26,25,23,59,61,0.967213114754098,0,0,0,0.85,0.808333333333333,0.92156862745098,0.865979381443299,0.961538461538462,0.92
"Cabo Delgado","Metuge CS","2025Q1",310,283,283,30,27,3,3,1,0.0106007067137809,1,5,30,27,3,0,30,27,3,0,2,2,0,2,0,2,2,0,0,6,1,5.4,0.6,0,0.0666666666666667,0.0740740740740741,2,27,0,0,3,0,0,0,1,1,0,0,29,0,24,25,12,21,9,15,2,78,4,8,7,29,16,1.8125,0,0,0,0.5,0.84,0.75,0.714285714285714,2,0.875
"Cabo Delgado","Metuge CS","2025Q2",238,216,216,32,22,10,9,1,0.0462962962962963,0.9,10,26,26,0,0,38,26,12,0,2,2,0,2,0,2,2,0,0,3.8,1.46153846153846,2.6,1.2,0,0.0526315789473684,0.0769230769230769,2,26,0,0,12,0,0,0,1,1,0,0,31,0,22,61,8,10,7,4,5,73,8,3,1,31,32,0.96875,0,0,0,0.363636363636364,0.163934426229508,0.875,0.4,0.375,0.333333333333333
