"","Province","Health Facility","Period","name","percent","num","den","np"
"1","Cabo Delgado","Chiure CS","2025Q1","Positivity < 2 month",0.00746268656716418,1,134,"0.7%
 (1/134)"
"2","Cabo Delgado","Chiure CS","2025Q1","Positivity 2 - 12 month",0.3,3,10,"30%
 (3/10)"
"3","Cabo Delgado","Chiure CS","2025Q1","Positivity 12 - 18 month",0.5,1,2,"50%
 (1/2)"
"4","Cabo Delgado","Chiure CS","2025Q2","Positivity < 2 month",0.0137931034482759,2,145,"1.4%
 (2/145)"
"5","Cabo Delgado","Chiure CS","2025Q2","Positivity 2 - 12 month",0,0,2,"0%
 (0/2)"
"6","Cabo Delgado","Chiure CS","2025Q2","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"7","Cabo Delgado","Chiure CS","2025Q3","Positivity < 2 month",0.00645161290322581,1,155,"0.6%
 (1/155)"
"8","Cabo Delgado","Chiure CS","2025Q3","Positivity 2 - 12 month",0.08,2,25,"8%
 (2/25)"
"9","Cabo Delgado","Chiure CS","2025Q3","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"10","Cabo Delgado","Chiure CS","2025Q4","Positivity < 2 month",0.00854700854700855,1,117,"0.9%
 (1/117)"
"11","Cabo Delgado","Chiure CS","2025Q4","Positivity 2 - 12 month",0.214285714285714,3,14,"21.4%
 (3/14)"
"12","Cabo Delgado","Chiure CS","2025Q4","Positivity 12 - 18 month",0.5,1,2,"50%
 (1/2)"
"13","Cabo Delgado","Eduardo Mondlane CS","2025Q1","Positivity < 2 month",0,0,46,"0%
 (0/46)"
"14","Cabo Delgado","Eduardo Mondlane CS","2025Q1","Positivity 2 - 12 month",0,0,4,"0%
 (0/4)"
"15","Cabo Delgado","Eduardo Mondlane CS","2025Q1","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"16","Cabo Delgado","Eduardo Mondlane CS","2025Q2","Positivity < 2 month",0,0,43,"0%
 (0/43)"
"17","Cabo Delgado","Eduardo Mondlane CS","2025Q2","Positivity 2 - 12 month",0,0,1,"0%
 (0/1)"
"18","Cabo Delgado","Eduardo Mondlane CS","2025Q2","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"19","Cabo Delgado","Eduardo Mondlane CS","2025Q3","Positivity < 2 month",0,0,51,"0%
 (0/51)"
"20","Cabo Delgado","Eduardo Mondlane CS","2025Q3","Positivity 2 - 12 month",0.4,2,5,"40%
 (2/5)"
"21","Cabo Delgado","Eduardo Mondlane CS","2025Q3","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"22","Cabo Delgado","Eduardo Mondlane CS","2025Q4","Positivity < 2 month",0,0,41,"0%
 (0/41)"
"23","Cabo Delgado","Eduardo Mondlane CS","2025Q4","Positivity 2 - 12 month",0,0,1,"0%
 (0/1)"
